Sno,State,capitalcity,chiefministers,governer,Rajyasabha,Loksabha,Arearank,PopulationWiserank
1,Andhra Pradesh,Amaravati,Shri YS Jagan Mohan Reddy,Shri Biswa Bhusan Harichandan,11,25,7,10
2,Arunachal Pradesh,Itanagar,Shri Pema Khandu,Brig. (Dr.) B. D. Mishra (Retd.),1,2,14,28
3,Assam,Dispur,Shri Sarbananda Sonowal,Prof. Jagdish Mukhi,7,14,16,15
4,Bihar,Patna,Shri Nitish Kumar,Shri Phagu Chauhan,16,40,12,3
5,Chhattisgarh,Raipur,Shri Bhupesh Baghel,Sushri Anusuiya Uikey,5,11,9,17
6,Goa,Panaji,Shri Pramod Sawant,Smt. Mridula Sinha,1,2,31,27
7,Gujarat,Gandhinagar,Shri Vijaybhai R. Rupani,Shri Acharya Dev Vrat,11,26,5,9
8,Haryana,Chandigarh,Shri Manohar Lal,Shri Satyadev Narayan Arya,5,10,21,18
9,Himachal Pradesh,Shimla,Shri Jairam Thakur,Shri Bandaru Dattatraya,3,4,18,22
10,Jammu and Kashmir,Srinagar jammu,Shri Satya Pal Malik,Shri Satya Pal Malik,4,6,22,20
11,Jharkhand,Ranchi,Shri Raghubar Das,Shrimati Droupadi Murmu,6,14,15,14
12,Karnataka,Bengaluru,Sri B. S. Yediyurappa,Shri Vajubhai Vala,12,28,6,8
13,Kerala,Thiruvananthapuram,Shri Pinarayi Vijayan,Shri Arif Mohammed Khan,9,20,23,13
14,Madhya Pradesh,Bhopal,Shri Kamal Nath,Shri Lal Ji Tandon,11,29,2,5
15,Maharashtra,Mumbai,Shri Devendra Fadnavis,Shri Bhagat Singh Koshyari,18,48,3,2
16,Manipur,Imphal,Shri N. Biren Singh,Shri Padmanabha Balkrishna Acharya (Add. Charge),1,2,25,25
17,Meghalaya,Shillong,Shri Conrad Kongkal Sangma,Shri Tathagata Roy,1,2,24,24
18,Mizoram,Aizawl,Shri Pu Zoramthanga,Prof. Jagdish Mukhi,1,1,26,30
19,Nagaland,Kohima,Shri Neiphiu Rio,Shri R. N. Ravi,1,1,27,26
20,Odisha,Bhubaneswar,Shri Naveen Patnaik,Prof. Ganeshi Lal,10,21,8,11
21,Punjab,Chandigarh,Shri Capt. Amarinder Singh,Shri V.P. Singh Badnore,7,13,20,16
22,Rajasthan,Jaipur,Shri Ashok Gehlot,Shri Kalraj Mishra,10,25,1,7
23,Sikkim,Gangtok,Shri PS Golay,Shri Ganga Prasad,1,1,39,32
24,Tamil Nadu,Chennai,Thiru Edappadi K. Palaniswami,Shri Banwarilal Purohit,18,39,10,6
25,Telangana,Hyderabad,Shri K Chandrasekhar Rao,Dr. Tamilisai Soundararajan,7,17,11,12
26,Tripura,Agartala,Shri Biplab Kumar Deb,Shri Ramesh Bais,1,2,28,23
27,Uttar Pradesh,Lucknow,Shri Yogi Aditya Nath,Smt. Anandiben Patel,31,80,4,1
28,Uttarakhand,Dehradun,Shri Trivendra Singh Rawat,Smt. Baby Rani Maurya,3,5,19,21
29,West Bengal,Kolkata,Km. Mamata Banerjee,Shri Jagdeep Dhankhar,16,42,13,4
30,Andaman and Nicobar Islands,Port Blair,Devendra Kumar Joshi,Devendra Kumar Joshi,0,1,29,34
31,Chandigarh,Chandigarh,V. P. Singh Badnore,V. P. Singh Badnore,0,1,35,31
32,Dadra and Nagar Haveli,Silvassa,Praful Khoda Patel,Praful Khoda Patel,0,1,33,33
33,Ladakh,Leh,B. D. Mishra,B. D. Mishra,0,1,17,35
34,Lakshadweep,Kavaratti,Mihir Vardhan,Mihir Vardhan,0,1,36,36
35,National Capital Territory of Delhi,Delhi,Shri Arvind Kejriwal,Anil Baijal,3,7,32,19
36,Puducherry,Pondicherry,Shri. V. Narayanasamy,Kiran Bedi,1,1,34,29
